Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Random Forest,0.9727272727272728,0.9727367721098128,0.9727272727272728,0.9723077066795096,0.4788939952850342
Gradient Boosting,0.9636363636363636,0.9668331668331668,0.9636363636363636,0.9624836729362591,378.364541053772
SVM,0.9590909090909091,0.9630928853754941,0.9590909090909091,0.9564963924963926,6.592575788497925
KNN,0.9545454545454546,0.9551136363636363,0.9545454545454546,0.9542613024167855,0.0022280216217041016
Decision Tree,0.8909090909090909,0.8946996041239461,0.8909090909090909,0.8894104241950359,2.784888982772827
Naive Bayes,0.5681818181818182,0.739608247623989,0.5681818181818182,0.6154135818977607,0.07944297790527344
